"""InternshipID""","""CandidateID""","""Rank""","""Score""","""Social_Category""","""Location_Category""","""Technical_Skills""","""Soft_Skills""","""Projects""","""Skills_Required""","""Responsibilities""","""Job_Description""","""Location""","""Category""",created_at,"""Past_Participation"""
INT001,C2345,11,0.6116905546188355,GEN,Rural,"Feature Engineering, PowerBI, Web Development, Hadoop, C++, Matplotlib, NumPy","Analytical Thinking, Communication, Creativity, Leadership","House Price Prediction, Game Development","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862655+00,f
INT001,C2227,12,0.6073715448379517,EWS,Urban,"Machine Learning, Python, PowerBI, Seaborn, Pandas, Cloud, Linux","Collaboration, Analytical Thinking, Creativity","EDA on Retail Data, Fraud Detection Model","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862743+00,f
INT001,C2379,13,0.5760231494903565,GEN,Rural,"Feature Engineering, Machine Learning, EDA, Seaborn, Kubernetes, Web Development","Analytical Thinking, Critical Thinking, Adaptability","House Price Prediction, Fraud Detection Model","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862821+00,f
INT001,C2508,14,0.5122553634643555,SC,Rural,"Cryptography, Machine Learning, Computer Networks, Data Structures, PHP, HTML","Attention to Detail, Teamwork, Decision Making","Hospital Management System, Blog Application, Library Management System","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862889+00,f
INT001,C2267,15,0.4340490031242371,OBC,Rural,"Ethical Hacking, Artificial Intelligence, Computer Networks, Operating Systems, PHP, Data Structures, SQL, C++","Attention to Detail, Collaboration, Work Ethic","E-commerce Website, Blog Application","Python, Machine Learning, EDA, Feature Engineering, PowerBI, Data Visualization",Build and validate ML models; Perform feature engineering and exploratory data analysis; Design dashboards in PowerBI,"Join the analytics team to design and implement predictive models that address complex business problems. Work with structured and unstructured datasets, applying advanced preprocessing and visualization techniques to deliver actionable insights. Collaborate with engineers and product managers to embed models into decision-making systems.",Bangalore,IT,2025-10-15 15:53:00.862937+00,f
INT010,C2435,1,0.7779684448242189,GEN,Rural,"Battery Technology, Signal Processing, MATLAB/Simulink, BMS (Battery Management Systems), Energy Storage Systems","Collaboration, Critical Thinking, Teamwork","IoT Sensor Integration, EV Range Optimization","Battery Technology, MATLAB/Simulink, Embedded Systems, Control Systems, IoT, Power Electronics",Support EV battery performance testing; Develop control models in MATLAB/Simulink; Assist in integrating IoT sensors for EV monitoring,"Contribute to research and development of electric vehicle systems, focusing on battery management and power optimization.",Pune,Automotive,2025-10-15 20:25:50.307764+00,f
INT010,C2244,2,0.6940348815917969,OBC,Urban,"Embedded Systems, BMS (Battery Management Systems), Power Electronics, PCB Design, Control Systems","Adaptability, Attention to Detail, Time Management","BMS Development, MATLAB Control Model","Battery Technology, MATLAB/Simulink, Embedded Systems, Control Systems, IoT, Power Electronics",Support EV battery performance testing; Develop control models in MATLAB/Simulink; Assist in integrating IoT sensors for EV monitoring,"Contribute to research and development of electric vehicle systems, focusing on battery management and power optimization.",Pune,Automotive,2025-10-15 20:25:50.308408+00,f
INT010,C2481,3,0.6782370948791504,OBC,Urban,"Battery Technology, Energy Storage Systems, Thermal Management, Vehicle Dynamics, Automotive Testing","Collaboration, Creativity, Teamwork","EV Range Optimization, CAD Component Modeling","Battery Technology, MATLAB/Simulink, Embedded Systems, Control Systems, IoT, Power Electronics",Support EV battery performance testing; Develop control models in MATLAB/Simulink; Assist in integrating IoT sensors for EV monitoring,"Contribute to research and development of electric vehicle systems, focusing on battery management and power optimization.",Pune,Automotive,2025-10-15 20:25:50.30852+00,f
INT010,C2478,4,0.6744972658157349,OBC,Urban,"Mechanical Design, Finite Element Analysis, Embedded Systems, Battery Technology, Battery Management","Attention to detail, Creativity, Adaptability","3D Component Modeling, Vehicle Testing Module","Battery Technology, MATLAB/Simulink, Embedded Systems, Control Systems, IoT, Power Electronics",Support EV battery performance testing; Develop control models in MATLAB/Simulink; Assist in integrating IoT sensors for EV monitoring,"Contribute to research and development of electric vehicle systems, focusing on battery management and power optimization.",Pune,Automotive,2025-10-15 20:25:50.308569+00,f
INT010,C2411,5,0.6690936994552613,GEN,Rural,"BMS (Battery Management Systems), IoT, Embedded Systems, Signal Processing, Manufacturing Processes","Collaboration, Creativity, Teamwork","BMS Development, IoT Sensor Integration, Vehicle Testing Module","Battery Technology, MATLAB/Simulink, Embedded Systems, Control Systems, IoT, Power Electronics",Support EV battery performance testing; Develop control models in MATLAB/Simulink; Assist in integrating IoT sensors for EV monitoring,"Contribute to research and development of electric vehicle systems, focusing on battery management and power optimization.",Pune,Automotive,2025-10-15 20:25:50.308612+00,f
INT010,C2321,6,0.6397296094894409,ST,Urban,"Finite Element Analysis, Vehicle Dynamics, Manufacturing Processes, Embedded Systems, Battery Management","Problem-solving, Time management, Creativity",Vehicle Testing Module,"Battery Technology, MATLAB/Simulink, Embedded Systems, Control Systems, IoT, Power Electronics",Support EV battery performance testing; Develop control models in MATLAB/Simulink; Assist in integrating IoT sensors for EV monitoring,"Contribute to research and development of electric vehicle systems, focusing on battery management and power optimization.",Pune,Automotive,2025-10-15 20:25:50.308655+00,f
INT010,C2242,7,0.6113298988342286,SC,Urban,"SolidWorks, CAD (AutoCAD), Vehicle Testing, Battery Technology, Battery Management","Problem-solving, Teamwork, Leadership, Creativity","CAD Suspension Design, Vehicle Testing Module","Battery Technology, MATLAB/Simulink, Embedded Systems, Control Systems, IoT, Power Electronics",Support EV battery performance testing; Develop control models in MATLAB/Simulink; Assist in integrating IoT sensors for EV monitoring,"Contribute to research and development of electric vehicle systems, focusing on battery management and power optimization.",Pune,Automotive,2025-10-15 20:25:50.308963+00,f
INT010,C2440,8,0.5888372325897216,EWS,Urban,"Power Electronics, Manufacturing Processes, Vehicle Dynamics, Automotive Testing, Sensor Integration","Critical Thinking, Leadership, Time Management","Power Electronics Simulation, Chassis Design Analysis","Battery Technology, MATLAB/Simulink, Embedded Systems, Control Systems, IoT, Power Electronics",Support EV battery performance testing; Develop control models in MATLAB/Simulink; Assist in integrating IoT sensors for EV monitoring,"Contribute to research and development of electric vehicle systems, focusing on battery management and power optimization.",Pune,Automotive,2025-10-15 20:25:50.309021+00,f
INT008,C2494,1,0.7758876752853394,GEN,Urban,"Cash Flow Analysis, Risk Assessment, Banking Regulations (Basics), Excel, Treasury Reporting, Banking Operations","Communication, Critical Thinking, Time Management","Corporate Client Presentation, Market Trend Analysis, Tax Compliance Report","Financial Statement Analysis, Treasury Operations Basics, Excel, Communication, Market Research, Banking Regulations (Basics)",Assist in preparing treasury and cash flow reports; Support corporate banking team in client onboarding and documentation; Research market trends in foreign exchange and interest rates; Help in preparing presentations for large corporate clients,"Work with the corporate banking division to support treasury operations, foreign exchange management, and large client relationship teams. Gain exposure to core banking products and treasury functions.",Mumbai,Banking & Financial Services,2025-10-15 20:31:11.487526+00,f
INT008,C2282,2,0.7748052215576173,GEN,Urban,"Cash Flow Analysis, Banking Regulations (Basics), Risk Assessment, Client Documentation, Financial Modeling, Interest Rate Analytics","Attention to Detail, Critical Thinking, Adaptability","Corporate Client Presentation, Client Onboarding Documentation, Banking Ops Mapping","Financial Statement Analysis, Treasury Operations Basics, Excel, Communication, Market Research, Banking Regulations (Basics)",Assist in preparing treasury and cash flow reports; Support corporate banking team in client onboarding and documentation; Research market trends in foreign exchange and interest rates; Help in preparing presentations for large corporate clients,"Work with the corporate banking division to support treasury operations, foreign exchange management, and large client relationship teams. Gain exposure to core banking products and treasury functions.",Mumbai,Banking & Financial Services,2025-10-15 20:31:11.487639+00,f
INT008,C2461,3,0.7719940519332886,OBC,Urban,"Banking Regulations (Basics), Excel, Financial Statement Analysis, Cash Flow Analysis, Treasury Reporting, Tax Compliance","Critical Thinking, Communication, Ethical Judgment","FX Research Summary, Treasury Report Preparation","Financial Statement Analysis, Treasury Operations Basics, Excel, Communication, Market Research, Banking Regulations (Basics)",Assist in preparing treasury and cash flow reports; Support corporate banking team in client onboarding and documentation; Research market trends in foreign exchange and interest rates; Help in preparing presentations for large corporate clients,"Work with the corporate banking division to support treasury operations, foreign exchange management, and large client relationship teams. Gain exposure to core banking products and treasury functions.",Mumbai,Banking & Financial Services,2025-10-15 20:31:11.487694+00,f
INT008,C2566,4,0.761846251487732,OBC,Urban,"Financial Modeling, Treasury Operations Basics, Risk Assessment, Client Documentation, Banking Regulations (Basics), Interest Rate Analytics","Critical Thinking, Communication, Ethical Judgment","Treasury Cash Flow Report, Corporate Client Presentation, Tax Compliance Report","Financial Statement Analysis, Treasury Operations Basics, Excel, Communication, Market Research, Banking Regulations (Basics)",Assist in preparing treasury and cash flow reports; Support corporate banking team in client onboarding and documentation; Research market trends in foreign exchange and interest rates; Help in preparing presentations for large corporate clients,"Work with the corporate banking division to support treasury operations, foreign exchange management, and large client relationship teams. Gain exposure to core banking products and treasury functions.",Mumbai,Banking & Financial Services,2025-10-15 20:31:11.487739+00,f
INT008,C2200,5,0.7421288824081422,GEN,Rural,"Excel, Financial Statement Analysis, Cash Flow Analysis, Treasury Operations Basics, Risk Assessment, Data Analysis","Critical Thinking, Communication, Leadership","FX Research Summary, Client Onboarding Documentation","Financial Statement Analysis, Treasury Operations Basics, Excel, Communication, Market Research, Banking Regulations (Basics)",Assist in preparing treasury and cash flow reports; Support corporate banking team in client onboarding and documentation; Research market trends in foreign exchange and interest rates; Help in preparing presentations for large corporate clients,"Work with the corporate banking division to support treasury operations, foreign exchange management, and large client relationship teams. Gain exposure to core banking products and treasury functions.",Mumbai,Banking & Financial Services,2025-10-15 20:31:11.487781+00,f
INT008,C2343,6,0.7111782121658325,SC,Urban,"Client Documentation, Treasury Reporting, Financial Modeling, Market Research, Banking Regulations (Basics), Banking Operations","Communication, Critical Thinking, Adaptability","Client Onboarding Documentation, Treasury Report Preparation","Financial Statement Analysis, Treasury Operations Basics, Excel, Communication, Market Research, Banking Regulations (Basics)",Assist in preparing treasury and cash flow reports; Support corporate banking team in client onboarding and documentation; Research market trends in foreign exchange and interest rates; Help in preparing presentations for large corporate clients,"Work with the corporate banking division to support treasury operations, foreign exchange management, and large client relationship teams. Gain exposure to core banking products and treasury functions.",Mumbai,Banking & Financial Services,2025-10-15 20:31:11.487824+00,f
INT008,C2433,7,0.6871504878997803,ST,Rural,"Client Documentation, Banking Regulations (Basics), Risk Assessment, Market Research, Treasury Reporting, Portfolio Management","Critical Thinking, Attention to Detail, Ethical Judgment","Corporate Client Presentation, FX Research Summary","Financial Statement Analysis, Treasury Operations Basics, Excel, Communication, Market Research, Banking Regulations (Basics)",Assist in preparing treasury and cash flow reports; Support corporate banking team in client onboarding and documentation; Research market trends in foreign exchange and interest rates; Help in preparing presentations for large corporate clients,"Work with the corporate banking division to support treasury operations, foreign exchange management, and large client relationship teams. Gain exposure to core banking products and treasury functions.",Mumbai,Banking & Financial Services,2025-10-15 20:31:11.487868+00,t
INT008,C2561,8,0.6581509351730348,EWS,Urban,"Risk Assessment, Treasury Operations Basics, Market Research, Portfolio Management, Tax Compliance","Collaboration, Communication, Time Management","Market Trend Analysis, Client Onboarding Documentation, Investment Portfolio Analysis","Financial Statement Analysis, Treasury Operations Basics, Excel, Communication, Market Research, Banking Regulations (Basics)",Assist in preparing treasury and cash flow reports; Support corporate banking team in client onboarding and documentation; Research market trends in foreign exchange and interest rates; Help in preparing presentations for large corporate clients,"Work with the corporate banking division to support treasury operations, foreign exchange management, and large client relationship teams. Gain exposure to core banking products and treasury functions.",Mumbai,Banking & Financial Services,2025-10-15 20:31:11.48791+00,f
INT008,C2291,9,0.6391569995880128,OBC,Rural,"Market Research, Risk Assessment, Cash Flow Analysis, Treasury Reporting, Financial Modeling, Client Documentation, Treasury Operations Basics","Communication, Attention to Detail, Collaboration","Treasury Report Preparation, FX Research Summary, Corporate Client Presentation, Treasury Cash Flow Report","Financial Statement Analysis, Treasury Operations Basics, Excel, Communication, Market Research, Banking Regulations (Basics)",Assist in preparing treasury and cash flow reports; Support corporate banking team in client onboarding and documentation; Research market trends in foreign exchange and interest rates; Help in preparing presentations for large corporate clients,"Work with the corporate banking division to support treasury operations, foreign exchange management, and large client relationship teams. Gain exposure to core banking products and treasury functions.",Mumbai,Banking & Financial Services,2025-10-15 20:31:11.48795+00,f
INT008,C2438,10,0.5923217821121216,SC,Rural,"Excel, Compliance Monitoring, Regulatory Frameworks (RBI/SEBI), Audit Procedures, Financial Analysis, Risk Assessment","Collaboration, Communication, Leadership","Compliance Audit Report, Documentation Review","Financial Statement Analysis, Treasury Operations Basics, Excel, Communication, Market Research, Banking Regulations (Basics)",Assist in preparing treasury and cash flow reports; Support corporate banking team in client onboarding and documentation; Research market trends in foreign exchange and interest rates; Help in preparing presentations for large corporate clients,"Work with the corporate banking division to support treasury operations, foreign exchange management, and large client relationship teams. Gain exposure to core banking products and treasury functions.",Mumbai,Banking & Financial Services,2025-10-15 20:31:11.48799+00,f
INT005,C2253,1,0.8475252151489259,GEN,Urban,"Chemical Engineering Fundamentals, Excel, Process Simulation (Aspen HYSYS), Heat & Mass Transfer, Analytical Chemistry, Material Testing","Problem-Solving, Collaboration, Creativity","Safety Compliance Review, Process Simulation Study, Heat Exchanger Design","Chemical Engineering Fundamentals, Process Simulation (Aspen HYSYS/ChemCAD), Heat & Mass Transfer, Safety Standards, Excel",Assist in process design and simulation studies; Support energy and material balance calculations; Help in safety and environmental compliance checks; Document process improvements and technical reports,"Work with the process engineering team to optimize chemical production processes, improve efficiency, and ensure compliance with safety standards. Gain exposure to plant operations and simulation tools.",Jamnagar,Chemical Industry,2025-10-16 05:35:10.90402+00,t
INT005,C2381,2,0.815634083747864,GEN,Urban,"Chemical Engineering Fundamentals, Excel, P&ID Design, Safety Standards, Quality Control, Lab Safety","Collaboration, Attention to Detail, Time Management","Material Balance Study, Process Simulation Study, Safety Compliance Review","Chemical Engineering Fundamentals, Process Simulation (Aspen HYSYS/ChemCAD), Heat & Mass Transfer, Safety Standards, Excel",Assist in process design and simulation studies; Support energy and material balance calculations; Help in safety and environmental compliance checks; Document process improvements and technical reports,"Work with the process engineering team to optimize chemical production processes, improve efficiency, and ensure compliance with safety standards. Gain exposure to plant operations and simulation tools.",Jamnagar,Chemical Industry,2025-10-16 05:35:10.904107+00,f
INT005,C2365,3,0.7719966745376587,GEN,Urban,"Safety Standards, Process Simulation (ChemCAD), Heat & Mass Transfer, Excel, Environmental Monitoring, Quality Control","Attention to Detail, Problem-Solving, Communication","Energy Balance Optimization, Process Simulation Study, Heat Exchanger Design","Chemical Engineering Fundamentals, Process Simulation (Aspen HYSYS/ChemCAD), Heat & Mass Transfer, Safety Standards, Excel",Assist in process design and simulation studies; Support energy and material balance calculations; Help in safety and environmental compliance checks; Document process improvements and technical reports,"Work with the process engineering team to optimize chemical production processes, improve efficiency, and ensure compliance with safety standards. Gain exposure to plant operations and simulation tools.",Jamnagar,Chemical Industry,2025-10-16 05:35:10.904169+00,f
INT005,C2329,4,0.7581444406509401,OBC,Urban,"Process Optimization, Safety Standards, Chemical Engineering Fundamentals, Excel, Process Simulation (Aspen HYSYS), P&ID Design, Lab Safety","Problem-Solving, Collaboration, Attention to Detail, Leadership","Heat Exchanger Design, Process Flow Optimization, Safety Compliance Review","Chemical Engineering Fundamentals, Process Simulation (Aspen HYSYS/ChemCAD), Heat & Mass Transfer, Safety Standards, Excel",Assist in process design and simulation studies; Support energy and material balance calculations; Help in safety and environmental compliance checks; Document process improvements and technical reports,"Work with the process engineering team to optimize chemical production processes, improve efficiency, and ensure compliance with safety standards. Gain exposure to plant operations and simulation tools.",Jamnagar,Chemical Industry,2025-10-16 05:35:10.904242+00,f
INT005,C2331,5,0.7464055633544924,OBC,Urban,"Excel, P&ID Design, Process Simulation (ChemCAD), Process Simulation (Aspen HYSYS), Analytical Chemistry, Spectroscopy","Problem-Solving, Attention to Detail, Time Management","Safety Compliance Review, Heat Exchanger Design, Energy Balance Optimization","Chemical Engineering Fundamentals, Process Simulation (Aspen HYSYS/ChemCAD), Heat & Mass Transfer, Safety Standards, Excel",Assist in process design and simulation studies; Support energy and material balance calculations; Help in safety and environmental compliance checks; Document process improvements and technical reports,"Work with the process engineering team to optimize chemical production processes, improve efficiency, and ensure compliance with safety standards. Gain exposure to plant operations and simulation tools.",Jamnagar,Chemical Industry,2025-10-16 05:35:10.9043+00,f
INT005,C2479,6,0.7023397207260133,SC,Urban,"Process Optimization, Process Simulation (ChemCAD), Safety Standards, Chemical Engineering Fundamentals, Environmental Monitoring, Material Testing","Problem-Solving, Attention to Detail, Decision Making","Heat Exchanger Design, Material Balance Study, Safety Compliance Review","Chemical Engineering Fundamentals, Process Simulation (Aspen HYSYS/ChemCAD), Heat & Mass Transfer, Safety Standards, Excel",Assist in process design and simulation studies; Support energy and material balance calculations; Help in safety and environmental compliance checks; Document process improvements and technical reports,"Work with the process engineering team to optimize chemical production processes, improve efficiency, and ensure compliance with safety standards. Gain exposure to plant operations and simulation tools.",Jamnagar,Chemical Industry,2025-10-16 05:35:10.904358+00,f
INT005,C2322,7,0.6878966712951661,SC,Rural,"Process Simulation (Aspen HYSYS), Chemical Engineering Fundamentals, Process Optimization, Excel, Polymer Testing, Quality Control","Collaboration, Problem-Solving, Teamwork","Heat Exchanger Design, Process Flow Optimization, Material Balance Study","Chemical Engineering Fundamentals, Process Simulation (Aspen HYSYS/ChemCAD), Heat & Mass Transfer, Safety Standards, Excel",Assist in process design and simulation studies; Support energy and material balance calculations; Help in safety and environmental compliance checks; Document process improvements and technical reports,"Work with the process engineering team to optimize chemical production processes, improve efficiency, and ensure compliance with safety standards. Gain exposure to plant operations and simulation tools.",Jamnagar,Chemical Industry,2025-10-16 05:35:10.904413+00,f
INT005,C2460,8,0.669493660926819,GEN,Rural,"Process Simulation (Aspen HYSYS), Heat & Mass Transfer, Chemical Engineering Fundamentals, P&ID Design, Process Optimization, Excel, Lab Safety","Collaboration, Problem-Solving, Attention to Detail, Adaptability","Safety Compliance Review, Heat Exchanger Design, Material Balance Study","Chemical Engineering Fundamentals, Process Simulation (Aspen HYSYS/ChemCAD), Heat & Mass Transfer, Safety Standards, Excel",Assist in process design and simulation studies; Support energy and material balance calculations; Help in safety and environmental compliance checks; Document process improvements and technical reports,"Work with the process engineering team to optimize chemical production processes, improve efficiency, and ensure compliance with safety standards. Gain exposure to plant operations and simulation tools.",Jamnagar,Chemical Industry,2025-10-16 05:35:10.904484+00,f
INT005,C2439,9,0.6360382509231568,OBC,Rural,"Process Simulation (Aspen HYSYS), Excel, Process Optimization, Heat & Mass Transfer, Spectroscopy, Analytical Chemistry","Collaboration, Problem-Solving, Creativity","Process Simulation Study, Heat Exchanger Design, Material Balance Study","Chemical Engineering Fundamentals, Process Simulation (Aspen HYSYS/ChemCAD), Heat & Mass Transfer, Safety Standards, Excel",Assist in process design and simulation studies; Support energy and material balance calculations; Help in safety and environmental compliance checks; Document process improvements and technical reports,"Work with the process engineering team to optimize chemical production processes, improve efficiency, and ensure compliance with safety standards. Gain exposure to plant operations and simulation tools.",Jamnagar,Chemical Industry,2025-10-16 05:35:10.90454+00,f
INT005,C2565,10,0.612061758041382,EWS,Rural,"P&ID Design, Process Optimization, Process Simulation (ChemCAD), Safety Standards, Spectroscopy, Environmental Monitoring","Attention to Detail, Collaboration, Teamwork","Process Flow Optimization, Material Balance Study, Energy Balance Optimization","Chemical Engineering Fundamentals, Process Simulation (Aspen HYSYS/ChemCAD), Heat & Mass Transfer, Safety Standards, Excel",Assist in process design and simulation studies; Support energy and material balance calculations; Help in safety and environmental compliance checks; Document process improvements and technical reports,"Work with the process engineering team to optimize chemical production processes, improve efficiency, and ensure compliance with safety standards. Gain exposure to plant operations and simulation tools.",Jamnagar,Chemical Industry,2025-10-16 05:35:10.904596+00,f
